new_name,old_name
SEQ_78,cds_APC32287_A/black-headed_gull/Netherlands/6/2014_2014/07/09_HA_HA_13
SEQ_0,cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1
SEQ_15,cds_AIU46709_A/Netherlands/M2/1957_1957/07/13_HA_HA_2
SEQ_22,cds_ABB96341_A/Memphis/18/1978_1978//_HA_HA_3
SEQ_8,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1
SEQ_43,cds_BAJ18029_A/guinea_fowl/Hong_Kong/NT897/2001_2001//_HA_HA_6
SEQ_28,cds_AAA43164_A/equine/Miami/1963_1963//_HA_HA_3
SEQ_75,cds_AGG27206_A/ruddy_turnstone/Delaware_Bay/124/1994_1994/05/22_HA_HA_12
SEQ_25,cds_ANM98799_A/California/25/2016_2016/01/16_HA_HA_3
SEQ_50,cds_ARB51629_A/guinea_fowl/Alabama/17-008272-2/2017_2017/03/12_HA_HA_7
SEQ_42,cds_ABD35523_A/chicken/Taiwan/G2/87_1987//_HA_HA_6
SEQ_57,cds_AGO17823_A/chicken/Hong_Kong/G9/1997_1997//_HA_HA_9
SEQ_14,cds_AIY59261_A/England/12/1962_1962//_HA_HA_2
SEQ_79,cds_BAA14338_A/gull/Maryland/704/1977_1977//_HA_HA_13
SEQ_3,cds_ABD59847_A/Taiwan/0130/1996_1996//_HA_HA_1
SEQ_17,cds_ABQ01355_A/Albany/1/1960_1960//_HA_HA_2
SEQ_89,cds_AGW82847_A/wild_bird/CO/492008/2007_2007//_HA_HA_16
SEQ_2,cds_BAA02768_A/Suita/1/1989_1989//_HA_HA_1
SEQ_55,cds_ACZ48491_A/turkey/Colorado/235497/2003_2003//_HA_HA_8
SEQ_82,cds_ANA11343_A/blue-winged_teal/Texas/UGAI15-6890/2015_2015/09/20_HA_HA_14
SEQ_68,cds_ABB88055_A/mallard_duck/ALB/797/1983_1983/08/23_HA_HA_11
SEQ_46,cds_ABJ16576_A/mallard/Ohio/64/1989_1989/10/19_HA_HA_6
SEQ_16,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2
SEQ_80,cds_AFX83972_A/ruddy_turnstone/Delaware_Bay/520/1988_1988/05/15_HA_HA_13
SEQ_60,cds_AGK23569_A/chicken/Shandong/zc11/2009_2009/11/01_HA_HA_9
SEQ_34,cds_ALE20251_A/duck/Zhejiang/925088/2014_2014/09/25_HA_HA_4
SEQ_74,cds_AHZ38167_A/mallard/Sweden/50968/2006_2006/10/08_HA_HA_12
SEQ_11,cds_ACD56302_A/North_Carolina/1/1963_1963//_HA_HA_2
SEQ_44,cds_ADG44742_A/duck/Shantou/5480/2005_2005//_HA_HA_6
SEQ_77,cds_AGW82809_A/ruddy_turnstone/DE/2584/1987_1987//_HA_HA_13
SEQ_91,cds_ABX79921_A/mallard/Gurjev/785/83_1983//_HA_HA_16
SEQ_18,cds_ABE14840_A/New_York/637/1996_1996/01/17_HA_HA_3
SEQ_58,cds_ABB87314_A/red_knot/Delaware/2552/1987_1987/07/07_HA_HA_9
SEQ_54,cds_AHZ38971_A/mallard/Sweden/541/2002_2002/11/07_HA_HA_8
SEQ_29,cds_AKI84352_A/equine/Tennessee/28A/2014_2014/10/21_HA_HA_3
SEQ_19,cds_ABJ16774_A/South_Australia/71/2000_2000//_HA_HA_3
SEQ_31,cds_AOS87374_A/equine/Argentina/E1134-7/2001_2001/07/31_HA_HA_3
SEQ_71,cds_AHN01572_A/mallard/Wisconsin/1069/1982_1982//_HA_HA_11
SEQ_67,cds_AHN04001_A/duck/Minnesota/47/1975_1975//_HA_HA_11
SEQ_83,cds_AHJ57322_A/blue-winged_teal/Guatemala/CIP049H106-62/2011_2011/12/15_HA_HA_14
SEQ_65,cds_ABB88022_A/pintail/Alberta/202/2000_2000/08/18_HA_HA_10
SEQ_10,cds_AFJ12393_A/mallard/Berlin/453-4/1980_1980//_HA_HA_2
SEQ_87,cds_AHM98288_A/California_gull/California/1196P/2013_2013/07/09_HA_HA_16
SEQ_61,cds_AOO54710_A/chicken/Sichuan/LFY/2016_2016/02/25_HA_HA_9
SEQ_86,cds_BAF43460_A/mallard/Astrakhan/263/1982_1982//_HA_HA_14
SEQ_36,cds_BAF46754_A/duck/Hong_Kong/951/1980_1980//_HA_HA_4
SEQ_1,cds_AEM60091_A/swine/Iowa/3421/1990_1990//_HA_HA_1
SEQ_76,cds_ABI84489_A/red-necked_stint/Australia/5745/1981_1981/03/05_HA_HA_12
SEQ_35,cds_BAF43432_A/duck/Hokkaido/1058/2001_2001//_HA_HA_4
SEQ_81,cds_APC31330_A/black-headed_gull/Netherlands/94/2008_2008/07/15_HA_HA_13
SEQ_20,cds_ABV30404_A/Texas/UR06-0418/2007_2007/02/26_HA_HA_3
SEQ_37,cds_ALD19472_A/Gallinula_chloropus/Guangdong/GZ174/2014_2014/09/08_HA_HA_5
SEQ_72,cds_AHN04990_A/mallard/Wisconsin/214/1977_1977//_HA_HA_12
SEQ_4,cds_ABV25634_A/swine/Iowa/15/1930_1930//_HA_HA_1
SEQ_26,cds_ABD16571_A/Memphis/7/1990_1990//_HA_HA_3
SEQ_30,cds_ACD85176_A/equine/Kentucky/3/1986_1986//_HA_HA_3
SEQ_63,cds_AJD14187_A/migratory_duck/Jiangxi/10974/2005_2005/11/12_HA_HA_10
SEQ_32,cds_AMX73815_A/blue-winged_teal/Texas/AI13-4094/2013_2013/09/18_HA_HA_4
