new_name,old_name
SEQ_21,cds_AET75393_A/pintail/Alberta/232/1992_1992/08/24_HA_HA_3
SEQ_69,cds_AND81178_A/bean_goose/Hubei/SZY200/2016_2016/02/26_HA_HA_11
SEQ_52,cds_APC30793_A/mallard_duck/Netherlands/14/2006_2006/07/24_HA_HA_8
SEQ_38,cds_AAG01215_A/environment/Hong_Kong/437-8/99__1999//_HA_HA_5
SEQ_27,cds_ABB04283_A/Hong_Kong/46/1980_1980//_HA_HA_3
SEQ_62,cds_AER09416_A/mallard/Korea/1203/2010_2010/12/_HA_HA_10
SEQ_64,cds_ABB87217_A/mallard/Alberta/209/2003_2003/08/07_HA_HA_10
SEQ_6,cds_ABU50586_A/Solomon_Islands/3/2006_2006/08/21_HA_HA_1
SEQ_53,cds_ABB87740_A/mallard/Alberta/194/1992_1992/12/01_HA_HA_8
SEQ_45,cds_AIK26344_A/chicken/Texas/9686-3/2014_2014/03/19_HA_HA_6
SEQ_24,cds_AHX37629_A/Perth/16/2009_2009/04/07_HA_HA_3
SEQ_9,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1
SEQ_51,cds_AAG10667_A/parrot/England/1174/94_1994//_HA_HA_7
SEQ_5,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1
SEQ_33,cds_AHL81553_A/northern_shoveler/Wisconsin/11OS4110/2011_2011/10/16_HA_HA_4
SEQ_23,cds_CAA24269_A/Aichi/2/1968_1968//_HA_HA_3
SEQ_84,cds_AHL82958_A/northern_shoveler/Arkansas/12OS112/2012_2012/01/15_HA_HA_14
SEQ_85,cds_AGE03200_A/northern_shoveler/Missouri/10OS4673/2010_2010/12/12_HA_HA_14
SEQ_12,cds_ABI85183_A/ruddy_turnstone/Delaware/34/1993_1993/05/15_HA_HA_2
SEQ_66,cds_AAA79775_A/chicken/Germany/N/1949_1949//_HA_HA_10
SEQ_13,cds_AFJ13125_A/mallard/Alberta/838/1979_1979/08/14_HA_HA_2
SEQ_41,cds_AAS07023_A/turkey/England/N28/1973_1973//_HA_HA_5
SEQ_70,cds_AFX84262_A/herring_gull/Delaware_Bay/2610/1987_1987/05/20_HA_HA_11
SEQ_39,cds_ACZ36905_A/chicken/Florida/25717/1993_1993//_HA_HA_5
SEQ_7,cds_AGM53850_A/California/07/2009_2009/04/09_HA_HA_1
SEQ_59,cds_ADC30104_A/chicken/Guangdong/HE21/2008_2008/08/01_HA_HA_9
SEQ_90,cds_AGB51345_A/shorebird/Delaware/172/2006_2006//_HA_HA_16
SEQ_88,cds_APY16454_A/glaucous-winged_gull/Southcentral_Alaska/15MB01735/2015_2015/09/01_HA_HA_16
SEQ_56,cds_ACZ36909_A/duck/LA/B174/1986_1986//_HA_HA_8
SEQ_47,cds_AGT40935_A/hawk/Italy/2985/2000_2000/04/26_HA_HA_7
SEQ_40,cds_ABY79032_A/duck/Egypt/9399NAMRU3-CLEVB202/2007_2007//_HA_HA_5
SEQ_48,cds_BAF02931_A/turkey/Oregon/1971_1971//_HA_HA_7
SEQ_73,cds_BAM77407_A/duck/Hokkaido/W26/2012_2012/10/04_HA_HA_12
SEQ_49,cds_AAD26932_A/chicken/New_York/8030-2/1996_1996//_HA_HA_7
