new_name,old_name
SEQ_17,cds_AHL78908_A/mallard/Sweden/52405/2006_2006/10/28_HA_HA_4
SEQ_31,cds_AQZ38089_A/blue-winged_teal/Guatemala/CIP049H109-67/2012_2012/11/16_HA_HA_14
SEQ_27,cds_AET75439_A/pintail/Alberta/129/1993_1993/08/19_HA_HA_10
SEQ_20,cds_APH09614_A/northern_pintail/Alaska/568/2013_2013/09/20_HA_HA_7
SEQ_4,cds_ABJ09096_A/mallard/Ohio/264/1986_1986/11/08_HA_HA_3
SEQ_21,cds_AAD37422_A/African_starling/England-Q/983/1979_1979//_HA_HA_7
SEQ_28,cds_AGO87051_A/duck/Hunan/S11205/2012_2012/03/25_HA_HA_10
SEQ_7,cds_ANM98799_A/California/25/2016_2016/01/16_HA_HA_3
SEQ_1,cds_ABG67201_A/New_York/682/1995_1995/03/01_HA_HA_3
SEQ_23,cds_AQS25397_A/northern_shoveler/Nevada/AH0009328/2015_2015/01/02_HA_HA_7
SEQ_16,cds_AHM97793_A/mallard/California/1353/2013_2013/07/22_HA_HA_4
SEQ_18,cds_AET76459_A/mallard/Alberta/296/1996_1996/08/26_HA_HA_4
SEQ_32,cds_AGE07966_A/long-tailed_duck/Wisconsin/10OS3918/2010_2010/11/16_HA_HA_14
SEQ_3,cds_ABJ09118_A/mallard/Alaska/715/2005_2005/08/19_HA_HA_3
SEQ_29,cds_ANA11343_A/blue-winged_teal/Texas/UGAI15-6890/2015_2015/09/20_HA_HA_14
SEQ_33,cds_BAF43460_A/mallard/Astrakhan/263/1982_1982//_HA_HA_14
SEQ_25,cds_AHN02242_A/duck/Wisconsin/2627/1985_1985//_HA_HA_10
SEQ_11,cds_AKI84352_A/equine/Tennessee/28A/2014_2014/10/21_HA_HA_3
SEQ_6,cds_AHX37629_A/Perth/16/2009_2009/04/07_HA_HA_3
SEQ_0,cds_AFH00714_A/Bangkok/1/1979_1979//_HA_HA_3
SEQ_9,cds_ABB04283_A/Hong_Kong/46/1980_1980//_HA_HA_3
SEQ_8,cds_ABD16571_A/Memphis/7/1990_1990//_HA_HA_3
SEQ_14,cds_ACX55878_A/duck/Taiwan/wb1/1998_1998/09/_HA_HA_4
SEQ_26,cds_BAU50905_A/duck/Hong_Kong/934/1980_1980//_HA_HA_10
SEQ_30,cds_AQY18287_A/blue-winged_teal/Guatemala/CIP049H113-08/2013_2013/01/10_HA_HA_14
SEQ_22,cds_AAD26932_A/chicken/New_York/8030-2/1996_1996//_HA_HA_7
SEQ_12,cds_ACD85176_A/equine/Kentucky/3/1986_1986//_HA_HA_3
SEQ_19,cds_AAC54380_A/turkey/England/1963_1963//_HA_HA_7
SEQ_13,cds_AOS87374_A/equine/Argentina/E1134-7/2001_2001/07/31_HA_HA_3
SEQ_10,cds_AAA43164_A/equine/Miami/1963_1963//_HA_HA_3
SEQ_24,cds_AQY18206_A/yellow-billed_pintail/Chile/C4256/2015_2015/12/14_HA_HA_10
SEQ_5,cds_CAA24269_A/Aichi/2/1968_1968//_HA_HA_3
SEQ_2,cds_AIN25432_A/canine/PA/111788.2/2009_2009//_HA_HA_3
SEQ_15,cds_AOK93133_A/duck/Shan_Tou/461/2000_2000//_HA_HA_4
