param,value,alignment,model,clean_model
beta_omega,7.016560000000001,HA_greater_0,YNGKP_M5,M5
kappa,3.19863,HA_greater_0,YNGKP_M5,M5
phi0A,0.33707,HA_greater_0,YNGKP_M5,M5
phi0C,0.140284,HA_greater_0,YNGKP_M5,M5
phi0G,0.280219,HA_greater_0,YNGKP_M5,M5
phi1A,0.368659,HA_greater_0,YNGKP_M5,M5
phi1C,0.17887,HA_greater_0,YNGKP_M5,M5
phi1G,0.207269,HA_greater_0,YNGKP_M5,M5
phi2A,0.340229,HA_greater_0,YNGKP_M5,M5
phi2C,0.20615100000000003,HA_greater_0,YNGKP_M5,M5
phi2G,0.203281,HA_greater_0,YNGKP_M5,M5
kappa,2.8459,HA_greater_0,YNGKP_M0,M0
omega,0.0700544,HA_greater_0,YNGKP_M0,M0
phi0A,0.33707,HA_greater_0,YNGKP_M0,M0
phi0C,0.140284,HA_greater_0,YNGKP_M0,M0
phi0G,0.280219,HA_greater_0,YNGKP_M0,M0
phi1A,0.368659,HA_greater_0,YNGKP_M0,M0
phi1C,0.17887,HA_greater_0,YNGKP_M0,M0
phi1G,0.207269,HA_greater_0,YNGKP_M0,M0
phi2A,0.340229,HA_greater_0,YNGKP_M0,M0
phi2C,0.20615100000000003,HA_greater_0,YNGKP_M0,M0
phi2G,0.203281,HA_greater_0,YNGKP_M0,M0
beta,1.48138,HA_greater_0,ExpCM,ExpCM
kappa,3.3866099999999997,HA_greater_0,ExpCM,ExpCM
omega,0.126137,HA_greater_0,ExpCM,ExpCM
phiA,0.360063,HA_greater_0,ExpCM,ExpCM
phiC,0.178387,HA_greater_0,ExpCM,ExpCM
phiG,0.233906,HA_greater_0,ExpCM,ExpCM
alpha_omega,0.9626959999999999,HA_greater_0,ExpCM_gammaomega,gammaomega
beta,1.3357700000000001,HA_greater_0,ExpCM_gammaomega,gammaomega
beta_omega,7.4533,HA_greater_0,ExpCM_gammaomega,gammaomega
kappa,3.8153900000000003,HA_greater_0,ExpCM_gammaomega,gammaomega
phiA,0.35770100000000005,HA_greater_0,ExpCM_gammaomega,gammaomega
phiC,0.178294,HA_greater_0,ExpCM_gammaomega,gammaomega
phiG,0.23454299999999997,HA_greater_0,ExpCM_gammaomega,gammaomega
