param,value,alignment,model,clean_model
alpha_omega,0.35827600000000004,HA_greater_75,YNGKP_M5,M5
beta_omega,1.90163,HA_greater_75,YNGKP_M5,M5
kappa,4.3034099999999995,HA_greater_75,YNGKP_M5,M5
phi0A,0.31604,HA_greater_75,YNGKP_M5,M5
phi0C,0.13137100000000002,HA_greater_75,YNGKP_M5,M5
phi0G,0.274803,HA_greater_75,YNGKP_M5,M5
phi1A,0.385714,HA_greater_75,YNGKP_M5,M5
phi1C,0.192167,HA_greater_75,YNGKP_M5,M5
phi1G,0.186434,HA_greater_75,YNGKP_M5,M5
phi2A,0.377118,HA_greater_75,YNGKP_M5,M5
phi2C,0.18923299999999998,HA_greater_75,YNGKP_M5,M5
phi2G,0.198615,HA_greater_75,YNGKP_M5,M5
kappa,4.09207,HA_greater_75,YNGKP_M0,M0
omega,0.164274,HA_greater_75,YNGKP_M0,M0
phi0A,0.31604,HA_greater_75,YNGKP_M0,M0
phi0C,0.13137100000000002,HA_greater_75,YNGKP_M0,M0
phi0G,0.274803,HA_greater_75,YNGKP_M0,M0
phi1A,0.385714,HA_greater_75,YNGKP_M0,M0
phi1C,0.192167,HA_greater_75,YNGKP_M0,M0
phi1G,0.186434,HA_greater_75,YNGKP_M0,M0
phi2A,0.377118,HA_greater_75,YNGKP_M0,M0
phi2C,0.18923299999999998,HA_greater_75,YNGKP_M0,M0
phi2G,0.198615,HA_greater_75,YNGKP_M0,M0
alpha_omega,1.9977900000000002,HA_greater_75,ExpCM_gammaomega,gammaomega
beta,2.10767,HA_greater_75,ExpCM_gammaomega,gammaomega
beta_omega,3.9055699999999995,HA_greater_75,ExpCM_gammaomega,gammaomega
kappa,4.7161599999999995,HA_greater_75,ExpCM_gammaomega,gammaomega
phiA,0.403159,HA_greater_75,ExpCM_gammaomega,gammaomega
phiC,0.175628,HA_greater_75,ExpCM_gammaomega,gammaomega
phiG,0.218151,HA_greater_75,ExpCM_gammaomega,gammaomega
