param,value,alignment,model,clean_model
beta,2.09631,HA_greater_75,ExpCM,ExpCM
kappa,4.57459,HA_greater_75,ExpCM,ExpCM
omega,0.46804300000000004,HA_greater_75,ExpCM,ExpCM
phiA,0.402938,HA_greater_75,ExpCM,ExpCM
phiC,0.17564000000000002,HA_greater_75,ExpCM,ExpCM
phiG,0.218229,HA_greater_75,ExpCM,ExpCM
alpha_omega,0.497675,HA_greater_58,YNGKP_M5,M5
beta_omega,4.74832,HA_greater_58,YNGKP_M5,M5
kappa,3.27222,HA_greater_58,YNGKP_M5,M5
phi0A,0.327112,HA_greater_58,YNGKP_M5,M5
phi0C,0.13639,HA_greater_58,YNGKP_M5,M5
phi0G,0.278843,HA_greater_58,YNGKP_M5,M5
phi1A,0.38014699999999996,HA_greater_58,YNGKP_M5,M5
phi1C,0.180598,HA_greater_58,YNGKP_M5,M5
phi1G,0.194377,HA_greater_58,YNGKP_M5,M5
phi2A,0.356242,HA_greater_58,YNGKP_M5,M5
phi2C,0.189192,HA_greater_58,YNGKP_M5,M5
phi2G,0.209865,HA_greater_58,YNGKP_M5,M5
kappa,2.9633700000000003,HA_greater_58,YNGKP_M0,M0
omega,0.0874692,HA_greater_58,YNGKP_M0,M0
phi0A,0.327112,HA_greater_58,YNGKP_M0,M0
phi0C,0.13639,HA_greater_58,YNGKP_M0,M0
phi0G,0.278843,HA_greater_58,YNGKP_M0,M0
phi1A,0.38014699999999996,HA_greater_58,YNGKP_M0,M0
phi1C,0.180598,HA_greater_58,YNGKP_M0,M0
phi1G,0.194377,HA_greater_58,YNGKP_M0,M0
phi2A,0.356242,HA_greater_58,YNGKP_M0,M0
phi2C,0.189192,HA_greater_58,YNGKP_M0,M0
phi2G,0.209865,HA_greater_58,YNGKP_M0,M0
alpha_omega,1.17452,HA_greater_58,ExpCM_gammaomega,gammaomega
beta,1.56016,HA_greater_58,ExpCM_gammaomega,gammaomega
beta_omega,5.52776,HA_greater_58,ExpCM_gammaomega,gammaomega
kappa,3.7638300000000005,HA_greater_58,ExpCM_gammaomega,gammaomega
phiA,0.384646,HA_greater_58,ExpCM_gammaomega,gammaomega
phiC,0.17194700000000002,HA_greater_58,ExpCM_gammaomega,gammaomega
phiG,0.231487,HA_greater_58,ExpCM_gammaomega,gammaomega
beta,1.55708,HA_greater_58,ExpCM,ExpCM
kappa,3.40268,HA_greater_58,ExpCM,ExpCM
omega,0.199413,HA_greater_58,ExpCM,ExpCM
phiA,0.38455500000000004,HA_greater_58,ExpCM,ExpCM
phiC,0.171957,HA_greater_58,ExpCM,ExpCM
phiG,0.23150199999999999,HA_greater_58,ExpCM,ExpCM
alpha_omega,0.6466390000000001,HA_greater_0,YNGKP_M5,M5
beta_omega,7.56963,HA_greater_0,YNGKP_M5,M5
kappa,2.88591,HA_greater_0,YNGKP_M5,M5
phi0A,0.33716199999999996,HA_greater_0,YNGKP_M5,M5
phi0C,0.140952,HA_greater_0,YNGKP_M5,M5
phi0G,0.27815500000000004,HA_greater_0,YNGKP_M5,M5
phi1A,0.36645300000000003,HA_greater_0,YNGKP_M5,M5
phi1C,0.178271,HA_greater_0,YNGKP_M5,M5
phi1G,0.207961,HA_greater_0,YNGKP_M5,M5
phi2A,0.344497,HA_greater_0,YNGKP_M5,M5
phi2C,0.205708,HA_greater_0,YNGKP_M5,M5
phi2G,0.202807,HA_greater_0,YNGKP_M5,M5
kappa,2.6859,HA_greater_0,YNGKP_M0,M0
omega,0.06962510000000001,HA_greater_0,YNGKP_M0,M0
phi0A,0.33716199999999996,HA_greater_0,YNGKP_M0,M0
phi0C,0.140952,HA_greater_0,YNGKP_M0,M0
phi0G,0.27815500000000004,HA_greater_0,YNGKP_M0,M0
phi1A,0.36645300000000003,HA_greater_0,YNGKP_M0,M0
phi1C,0.178271,HA_greater_0,YNGKP_M0,M0
phi1G,0.207961,HA_greater_0,YNGKP_M0,M0
phi2A,0.344497,HA_greater_0,YNGKP_M0,M0
phi2C,0.205708,HA_greater_0,YNGKP_M0,M0
phi2G,0.202807,HA_greater_0,YNGKP_M0,M0
alpha_omega,1.04793,HA_greater_0,ExpCM_gammaomega,gammaomega
beta,1.1041299999999998,HA_greater_0,ExpCM_gammaomega,gammaomega
beta_omega,8.16261,HA_greater_0,ExpCM_gammaomega,gammaomega
kappa,3.2825699999999998,HA_greater_0,ExpCM_gammaomega,gammaomega
phiA,0.36531199999999997,HA_greater_0,ExpCM_gammaomega,gammaomega
phiC,0.179298,HA_greater_0,ExpCM_gammaomega,gammaomega
phiG,0.235123,HA_greater_0,ExpCM_gammaomega,gammaomega
beta,1.22106,HA_greater_0,ExpCM,ExpCM
kappa,3.00247,HA_greater_0,ExpCM,ExpCM
omega,0.126325,HA_greater_0,ExpCM,ExpCM
phiA,0.368794,HA_greater_0,ExpCM,ExpCM
phiC,0.179213,HA_greater_0,ExpCM,ExpCM
phiG,0.23474899999999999,HA_greater_0,ExpCM,ExpCM
